,Job name,Link,Location,Salary min,Salary max,Portal,unstructured,r,degree,clustering,frontend,algebra,tableau,keras,brutto,puppet,consult,psql,descriptive,per month,matlab,classification,augmented,jinja,decision trees,couchdb,scala,predictive,cassandra,hbase,per day,svn,usd,excel,algorithm,seaborn,orm,data exploration,exploratory,pandas,natural language,ar,spss,debug,css,bokken,kaggle,azure,presentation,object relational mapper,math,project management,pytorch,decision tree,flask,experiment,tensorflow,ruby,zdalnie,per annum,spark,pound,phd,nosql,calculus,deep learning,python,scikit,beautiful soup,tf,hive,druid,salary,neural networks,test,security,maria,statistic,memcachedb,bachelor,chatbot,euro,java,unsupervised,munging,visualisation,netto,bayes,c++,mercurial,metrics,estimators,mongodb,remote,automation,sas,hadoop,d3.js,big data,wrangl,data processing,unit test,blockchain,masters,javascript,bs in,money,classifier,information retrival,machine learning,matplotlib,regression,pearl,conversational interface,anova,rest,jira,html,data,engineering,bs4,zdalna,analysis,django,mako,data mining,sql,.net,git,scraping,grunt,certificat,aws,pln,vr,nlp,c#,supervised,flink,thenao,methodology,data integration,numpy,nltk,quantitative analysis,large datasets
10,java developer remote work learn aws ml 50k,"""https://www.reed.co.uk/jobs/java-developer-remote-work-learn-aws-ml-50k/33993685?source=searchResults#/jobs/jobs-in-london?keywords=python-remote""",London,40000,50000,reed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0
11,front end developer reactjs,"""https://www.reed.co.uk/jobs/front-end-developer-reactjs/33859226?source=searchResults#/jobs/jobs-in-london?keywords=python-remote""",London,50000,75000,reed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
12,penetration tester remote working,"""https://www.reed.co.uk/jobs/penetration-tester-remote-working/33924550?source=searchResults#/jobs/jobs-in-london?keywords=python-remote""",London,50000,70000,reed,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,0,0,0,0,,0,1,0,0,0,0,0,1,0,0,0,0,1,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
13,penetration tester remote working,"""https://www.reed.co.uk/jobs/penetration-tester-remote-working/33774750?source=searchResults#/jobs/jobs-in-london?keywords=python-remote""",London,45000,65000,reed,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,0,0,0,0,,0,1,0,0,0,0,0,1,0,0,0,0,1,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
14,cloud solution architect 90000 bonus remote based,"""https://www.reed.co.uk/jobs/cloud-solution-architect-90000-bonus-remote-based/33890939?source=searchResults#/jobs/jobs-in-london?keywords=python-remote""",London,75000,90000,reed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0
15,devops engineer tech giant remote working available 90k,"""https://www.reed.co.uk/jobs/devops-engineer-tech-giant-remote-working-available-90k/33791281?source=searchResults#/jobs/jobs-in-london?keywords=python-remote""",London,45000,90000,reed,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0
16,data scientist london 100000 120000 retail e com,"""https://www.reed.co.uk/jobs/data-scientist-london-100000-120000-retail-e-com/34013752?source=searchResults#/jobs/jobs-in-london?keywords=python-remote""",City of London,100000,120000,reed,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,,0,0,0,0,,0,1,0,0,0,0,0,1,0,0,0,0,1,,1,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0
17,bi data analyst tableau,"""https://www.reed.co.uk/jobs/bi-data-analyst-tableau/33867698?source=searchResults#/jobs/jobs-in-london?keywords=python-remote""",London,25000,27500,reed,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
18,principal product security engineer,"""https://www.reed.co.uk/jobs/principal-product-security-engineer/33990343?source=searchResults#/jobs/jobs-in-london?keywords=python-remote""",City Of London,,,reed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,0,0,0,0,,0,1,0,0,0,0,0,1,0,0,0,0,1,,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
19,python developer,"""https://www.reed.co.uk/jobs/python-developer/34062327?source=searchResults#/jobs/jobs-in-london?keywords=python-remote""",City of London,40000,55000,reed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
